15403_12_1558061203352552595,0,2499,2626,0,402,29,221,0,0,0,521410813
15403_12_1558061203873994946,0,202,209,0,38,1,14,0,0,0,27516232
15403_12_1558061203901555711,0,202,225,0,56,0,15,0,0,0,23520299
15403_12_1558061203925100262,0,203,205,0,37,0,16,0,0,0,36100865
15403_12_1558061203961228441,0,199,207,0,35,0,13,0,0,0,22189918
15403_12_1558061203983441272,0,204,213,0,46,1,16,0,0,0,26907195
15403_12_1558061204010370385,0,195,213,0,37,1,8,0,0,0,20814824
15403_12_1558061204031224371,0,202,203,0,34,1,15,0,0,0,35008705
15403_12_1558061204066259167,0,207,205,0,41,1,20,0,0,0,30066342
15403_12_1558061204096387629,0,201,209,0,39,1,14,0,0,0,32692533
15403_12_1558061204129111643,0,203,215,0,47,1,14,0,0,0,34752701
15403_12_1558061204163888423,0,202,203,0,34,1,15,0,0,0,22427779
15403_12_1558061204186340282,0,195,214,0,38,1,8,0,0,0,35241620
15403_12_1558061204221618474,0,189,227,0,45,1,2,0,0,0,29946970
15403_12_1558061204251609093,0,194,236,0,59,0,5,0,0,0,26252478
15403_12_1558061204277883016,0,192,224,0,45,1,5,0,0,0,28054821
15403_12_1558061204305987029,0,200,215,0,44,1,13,0,0,0,27312614
15403_12_1558061204333321240,0,197,218,0,44,0,11,0,0,0,34228111
15403_12_1558061204367586664,0,195,222,0,46,0,8,0,0,0,39188762
15403_12_1558061204406803920,0,193,247,0,69,1,5,0,0,0,36026790
15403_12_1558061204442853867,0,194,230,0,53,1,7,0,0,0,43994107
15403_12_1558061204486873926,0,192,212,0,33,0,6,0,0,0,44047741
15403_12_1558061204530942846,0,196,217,0,42,1,9,0,0,0,31127089
15403_12_1558061204562091757,0,199,252,0,80,1,9,0,0,0,29714621
15403_12_1558061204591829244,0,196,233,0,58,1,9,0,0,0,37370793
15403_12_1558061204629231764,0,190,215,0,34,0,4,0,0,0,32306107
15403_12_1558061204661605075,0,203,227,0,59,1,16,0,0,0,51160653
15403_12_1558061204712787304,0,190,219,0,38,0,4,0,0,0,32440200
15403_12_1558061204745280854,0,193,216,0,38,0,5,0,0,0,46791829
15403_12_1558061204792095578,0,190,215,0,34,1,2,0,0,0,27962044
15403_12_1558061204820079843,0,193,209,0,31,1,6,0,0,0,22691016
15403_12_1558061204842792358,0,196,212,0,37,0,9,0,0,0,32669827
15403_12_1558061204875478055,0,190,211,0,30,0,4,0,0,0,23415927
15403_12_1558061204898915890,0,198,207,0,34,0,11,0,0,0,26724911
15403_12_1558061204925659241,0,213,206,0,48,0,27,0,0,0,38694640
15403_12_1558061204964405988,0,191,218,0,38,0,5,0,0,0,37056668
15403_12_1558061205001486846,0,190,219,0,38,0,3,0,0,0,35951462
15403_12_1558061205037501913,0,193,221,0,43,0,6,0,0,0,36604021
15403_12_1558061205074133487,0,200,208,0,37,0,14,0,0,0,27937894
15403_12_1558061205102119768,0,190,236,0,55,1,2,0,0,0,28355943
15403_12_1558061205130497597,0,189,216,0,34,1,2,0,0,0,23036272
15403_12_1558061205153555877,0,189,237,0,55,1,2,0,0,0,25457561
15403_12_1558061205179038738,0,192,213,0,34,0,6,0,0,0,47434976
15403_12_1558061205226502446,0,199,213,0,41,0,11,0,0,0,42548998
15403_12_1558061205269072476,0,191,219,0,39,0,5,0,0,0,30018526
15403_12_1558061205299129889,0,198,254,0,81,0,8,0,0,0,59889865
15403_12_1558061205359041618,0,191,252,0,72,1,4,0,0,0,30089601
15403_12_1558061205389178543,0,192,221,0,42,0,6,0,0,0,80055399
15403_12_1558061205469257698,0,190,215,0,34,0,3,0,0,0,38376747
15403_12_1558061205507658182,0,197,249,0,75,1,8,0,0,0,30356767
15403_12_1558061205538038176,0,189,216,0,34,1,2,0,0,0,26030183
15403_12_1558061205564086933,0,190,214,0,33,0,4,0,0,0,49425466
15403_12_1558061205613555759,0,195,219,0,43,1,8,0,0,0,49023749
15403_12_1558061205662633939,0,191,262,0,82,1,2,0,0,0,42023806
15403_12_1558061205704680426,0,191,213,0,33,0,4,0,0,0,52458011
15403_12_1558061205757208029,0,194,211,0,34,0,7,0,0,0,53310012
15403_12_1558061205810535516,0,195,215,0,39,0,9,0,0,0,73264875
15403_12_1558061205883829424,0,190,215,0,34,1,2,0,0,0,38482705
15403_12_1558061205922336468,0,189,219,0,37,1,2,0,0,0,29490191
15403_12_1558061205951851815,0,193,226,0,48,1,5,0,0,0,55689377
15403_12_1558061206007574036,0,194,227,0,50,0,7,0,0,0,45206977
15403_12_1558061206052829629,0,188,219,0,36,0,2,0,0,0,60674175
15403_12_1558061206113535014,0,188,214,0,31,0,2,0,0,0,52695179
15403_12_1558061206166254160,0,195,211,0,35,0,8,0,0,0,51176083
15403_12_1558061206217449217,0,191,228,0,48,0,3,0,0,0,27880115
15403_12_1558061206245348974,0,211,207,0,47,0,24,0,0,0,54982441
15403_12_1558061206300402868,0,212,220,0,61,0,26,0,0,0,57472181
15403_12_1558061206357892699,0,208,218,0,55,0,22,0,0,0,65156231
15403_12_1558061206423075166,0,212,222,0,63,0,25,0,0,0,67966623
15403_12_1558061206491073337,0,207,216,0,52,0,21,0,0,0,60597761
15403_12_1558061206551710028,0,213,189,0,31,0,27,0,0,0,81635479
15403_12_1558061206633375678,0,199,203,0,31,0,13,0,0,0,66543736
15403_12_1558061206699948805,0,212,190,0,31,0,26,0,0,0,56701717
15403_12_1558061206756675822,0,210,190,0,29,0,24,0,0,0,31748415
15403_12_1558061206788446393,0,214,190,0,33,1,27,0,0,0,25638080
15403_12_1558061206814106087,0,205,205,0,39,0,18,0,0,0,43140544
15403_12_1558061206857276873,0,201,203,0,33,0,15,0,0,0,52371685
15403_12_1558061206909672688,0,208,208,0,45,0,20,0,0,0,42650034
15403_12_1558061206952345509,0,202,206,0,37,0,16,0,0,0,47378981
15403_12_1558061206999791768,0,209,210,0,48,0,23,0,0,0,33976890
15403_12_1558061207033790481,0,198,207,0,34,0,12,0,0,0,63236436
15403_12_1558061207097089149,0,213,186,0,28,1,26,0,0,0,32265765
15403_12_1558061207129379094,0,212,190,0,31,0,26,0,0,0,69604367
15403_12_1558061207199027053,0,207,194,0,30,0,21,0,0,0,92711589
15403_12_1558061207291762305,0,211,191,0,31,0,25,0,0,0,70727217
15403_12_1558061207362522060,0,201,202,0,32,0,15,0,0,0,67468368
15403_12_1558061207430010208,0,200,203,0,32,0,14,0,0,0,88216181
15403_12_1558061207518245953,0,206,200,0,35,0,19,0,0,0,83805939
15403_12_1558061207602078757,0,207,192,0,28,0,21,0,0,0,86022558
15403_12_1558061207688127817,0,208,203,0,40,0,21,0,0,0,79289190
15403_12_1558061207767472463,0,205,200,0,34,0,18,0,0,0,79517725
15403_12_1558061207847017401,0,206,203,0,38,0,20,0,0,0,97188042
15403_12_1558061207944231675,0,198,203,0,30,0,12,0,0,0,67140461
15403_12_1558061208011402067,0,208,195,0,32,0,22,0,0,0,91769061
15403_12_1558061208103212046,0,203,201,0,33,0,17,0,0,0,69405466
15403_12_1558061208172653023,0,204,198,0,31,0,18,0,0,0,123400861
15403_12_1558061208296076176,0,211,193,0,33,0,25,0,0,0,77658587
15403_12_1558061208373763860,0,211,198,0,38,0,23,0,0,0,131612863
15403_12_1558061208603915455,0,209,195,0,33,0,23,0,0,0,120857329
15403_12_1558061208724804257,0,211,189,0,29,0,25,0,0,0,105742450
15403_12_1558061208830573667,0,211,197,0,37,0,25,0,0,0,102771304
